M1.D_b.DIC Time [a],M1.D_b.DIC DIC [mol],M1.D_b.DIC C^{12}$S [mol],M1.D_b.DIC C^{13}$S [mol],M1.D_b.DIC $\delta^{13}$C [VPDB],M1.D_b.DIC DIC [mol/l],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [mol/a],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{12}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{13}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC $\delta^{13}$C [VPDB]
199999.0,2.949950101256642e+18,1.9374469401396964e+18,1.0125031611169457e+18,45505.94350878,0.0022810198131086043,1685968353817739.0,1066459035519996.4,619509318297742.6,50694.64467347529,1799587772616084.8,1181920484460828.2,617667288155256.5,45505.91905514863,2023162024581286.8,1279750842623995.8,743411181957291.0,50694.64467347529,2159505327139301.8,1418304581352994.0,741200745786307.8,45505.91905514863,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
199999.1,2.949950101491391e+18,1.9374465906335334e+18,1.0125035108578575e+18,45505.9679624123,0.002281019813290122,1685968353020638.8,1066458821662955.5,619509531357683.2,50694.672818488536,1799587771353901.8,1181920270324973.2,617667501028928.5,45505.94350878,2023162023624766.5,1279750585995546.8,743411437629219.8,50694.672818488536,2159505325624682.2,1418304324389968.0,741201001234714.2,45505.94350878,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
199999.2,2.9499500994222356e+18,1.9374462396143427e+18,1.012503859807893e+18,45505.99241604552,0.002281019811690168,1685968352221186.5,1066458607804435.1,619509744416751.4,50694.700963511976,1799587771497108.2,1181920057112208.8,617667714384899.5,45505.9679624123,2023162022665424.0,1279750329365322.2,743411693300101.8,50694.700963511976,2159505325796530.0,1418304068534650.5,741201257261879.5,45505.9679624123,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
199999.30000000002,2.949950097353217e+18,1.937445888595355e+18,1.0125042087578621e+18,45506.016869679675,0.0022810198100903195,1685968351426810.8,1066458393949319.6,619509957477491.1,50694.72910852115,1799587770234840.5,1181919842976436.2,617667927258404.2,45505.99241604552,2023162021712173.2,1279750072739183.8,743411948972989.5,50694.72910852115,2159505324281808.5,1418303811571723.5,741201512710085.0,45505.99241604552,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
199999.40000000002,2.949950097587964e+18,1.9374455390895296e+18,1.0125045584984343e+18,45506.04132331477,0.0022810198102718353,1685968350629761.0,1066458180092518.8,619510170537242.2,50694.757253540796,1799587768972656.0,1181919628840787.8,617668140131868.2,45506.016869679675,2023162020755713.2,1279749816111022.5,743412204644690.8,50694.757253540796,2159505322767187.5,1418303554608945.5,741201768158242.0,45506.016869679675,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
199999.5,2.9499500955188065e+18,1.9374451880706772e+18,1.0125049074481293e+18,45506.06577695078,0.00228101980867188,1685968349830358.5,1066457966234238.1,619510383596120.4,50694.785398570646,1799587769115861.2,1181919415628229.0,617668353487632.2,45506.04132331477,2023162019796430.2,1279749559481085.8,743412460315344.5,50694.785398570646,2159505322939033.5,1418303298753874.8,741202024185158.8,45506.04132331477,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
199999.6,2.949950093449786e+18,1.937444837052028e+18,1.012505256397758e+18,45506.090230587724,0.00228101980707203,1685968349036032.8,1066457752379362.0,619510596656670.8,50694.813543586264,1799587767853592.2,1181919201492663.2,617668566360929.0,45506.06577695078,2023162018843239.2,1279749302855234.5,743412715988004.8,50694.813543586264,2159505321424311.0,1418303041791196.0,741202279633115.0,45506.06577695078,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
199999.7,2.94995009368453e+18,1.9374444875465403e+18,1.0125056061379899e+18,45506.11468422563,0.0022810198072535435,1685968348239032.2,1066457538522800.4,619510809716231.9,50694.84168861235,1799587766591406.8,1181918987357221.2,617668779234185.5,45506.090230587724,2023162017886839.0,1279749046227360.8,743412971659478.2,50694.84168861235,2159505319909688.0,1418302784828665.5,741202535081022.5,45506.090230587724,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
199999.80000000002,2.94995009161537e+18,1.9374441365280266e+18,1.0125059550873436e+18,45506.139137864404,0.002281019805653586,1685968347439679.0,1066457324664758.6,619511022774920.4,50694.86983364863,1799587766734610.0,1181918774144868.5,617668992589741.5,45506.11468422563,2023162016927615.0,1279748789597710.5,743413227329904.5,50694.86983364863,2159505320081532.2,1418302528973842.0,741202791107690.2,45506.11468422563,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
