M1.D_b.TA Time [a],M1.D_b.TA TA [mol],M1.D_b.TA C^{12}$S [mol],M1.D_b.TA C^{13}$S [mol],M1.D_b.TA $\delta^{13}$C [VPDB],M1.D_b.TA TA [mol/l],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [mol/a],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{12}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{13}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA $\delta^{13}$C [VPDB]
199999.0,3.0823118869897354e+18,1.117970612049207e+19,-8.097392221908574e+18,-65455.009713651416,0.0023833672581135244,1834919311051040.2,6799682081147679.0,-4964762770096639.0,-65975.8221298199,1880333766308284.2,6820064219931751.0,-4939730453623467.0,-65454.9934896493,2201903173261248.5,8159618497377215.0,-5957715324115966.0,-65975.8221298199,2256400519569941.5,8184077063918103.0,-5927676544348162.0,-65454.9934896493,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
199999.1,3.0823118888233477e+18,1.1179713503078558e+19,-8.097399607268774e+18,-65455.02593764084,0.002383367259531347,1834919310288598.8,6799686607373665.0,-4964767297085066.0,-65975.83812498045,1880333764616083.2,6820068723602313.0,-4939734958986230.0,-65455.009713651416,2201903172346318.5,8159623928848399.0,-5957720756502080.0,-65975.83812498045,2256400517539300.0,8184082468322776.0,-5927681950783476.0,-65455.009713651416,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
199999.2,3.0823118860491515e+18,1.1179720885670007e+19,-8.097406988027025e+18,-65455.0421249489,0.002383367257386227,1834919309521061.0,6799691133602696.0,-4964771824081635.0,-65975.85412019712,1880333765734660.2,6820073227275903.0,-4939739461541243.0,-65455.02593764084,2201903171425273.5,8159629360323235.0,-5957726188897962.0,-65975.85412019712,2256400518881592.5,8184087872731085.0,-5927687353849492.0,-65455.02593764084,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
199999.30000000002,3.0823118832752287e+18,1.1179728268266418e+19,-8.097414373397428e+18,-65455.0583489195,0.0023833672552413185,1834919308763819.5,6799695659834768.0,-4964776351070948.0,-65975.87011526852,1880333764042289.2,6820077730952521.0,-4939743966910232.0,-65455.0421249489,2201903170516583.5,8159634791801722.0,-5957731621285138.0,-65975.87011526852,2256400516850747.0,8184093277143027.0,-5927692760292280.0,-65455.0421249489,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
199999.40000000002,3.082311885108836e+18,1.1179735650867792e+19,-8.09742175877252e+18,-65455.07457287736,0.002383367256659137,1834919308001440.2,6799700186069883.0,-4964780878068443.0,-65975.8861103966,1880333762350085.2,6820082234632164.0,-4939748472282079.0,-65455.0583489195,2201903169601728.5,8159640223283860.0,-5957737053682132.0,-65975.8861103966,2256400514820102.5,8184098681558598.0,-5927698166738496.0,-65455.0583489195,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
199999.5,3.0823118823346345e+18,1.1179743033474128e+19,-8.097429139545663e+18,-65455.09076015395,0.0023833672545140135,1834919307233964.2,6799704712308040.0,-4964785405074076.0,-65975.90210558083,1880333763468659.0,6820086738314835.0,-4939752974846176.0,-65455.07457287736,2201903168680757.2,8159645654769649.0,-5957742486088892.0,-65975.90210558083,2256400516162391.0,8184104085977803.0,-5927703569815412.0,-65455.07457287736,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
199999.6,3.082311879560706e+18,1.1179750416085426e+19,-8.097436524930957e+18,-65455.10698409299,0.0023833672523691004,1834919306476784.2,6799709238549238.0,-4964789932072454.0,-65975.91810061975,1880333761776285.2,6820091242000537.0,-4939757480224252.0,-65455.09076015395,2201903167772141.2,8159651086259086.0,-5957747918486945.0,-65975.91810061975,2256400514131542.5,8184109490400644.0,-5927708976269102.0,-65455.09076015395,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
199999.7,3.082311881394308e+18,1.1179757798701687e+19,-8.097443910320942e+18,-65455.12320801932,0.002383367253786915,1834919305714466.5,6799713764793479.0,-4964794459079012.0,-65975.93409571538,1880333760084077.5,6820095745689261.0,-4939761985605184.0,-65455.10698409299,2201903166857360.0,8159656517752175.0,-5957753350894815.0,-65975.93409571538,2256400512100893.0,8184114894827113.0,-5927714382726220.0,-65455.10698409299,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
199999.80000000002,3.082311878620102e+18,1.117976518132291e+19,-8.097451291108978e+18,-65455.139395264436,0.0023833672516417877,1834919304947051.0,6799718291040764.0,-4964798986093713.0,-65975.95009086716,1880333761202648.2,6820100249381012.0,-4939766488178364.0,-65455.12320801932,2201903165936461.2,8159661949248917.0,-5957758783312456.0,-65975.95009086716,2256400513443178.0,8184120299257216.0,-5927719785814038.0,-65455.12320801932,120000000000000.0,118666520574994.67,1333479425005.3281,0.0
